date,sport,start_time,duration_min,calories,intensity,avg_heart_rate,max_heart_rate,notes
2026-05-25,Pickleball,,,450,,,,Backfilled from memory. Calories estimated using 400-500 kcal active range.
2026-05-26,Pickleball,,,450,,,,Backfilled from memory. Calories estimated using 400-500 kcal active range.
2026-05-27,Pickleball,,,450,,,,Backfilled from memory. Calories estimated using 400-500 kcal active range.
2026-06-01,Pickleball,,,450,,,,Backfilled from memory. First of two pickleball sessions that day. Calories estimated.
2026-06-01,Pickleball,,,450,,,,Backfilled from memory. Second of two pickleball sessions that day. Calories estimated.
2026-06-02,Pickleball,,,450,,,,Backfilled from memory. Calories estimated using 400-500 kcal active range.
2026-06-08,Football,,,550,,,,Backfilled from memory. Active calories estimated using 500-600 kcal range.
